landsat,,tier,ic,y1,y2,rgb_bands
5,Surface Reflectance,1,LANDSAT/LT05/C02/T1_L2,1984,2012,"['SR_B3', 'SR_B2', 'SR_B1']"
5,Surface Reflectance,2,LANDSAT/LT05/C02/T2_L2,1984,2012,"['SR_B3', 'SR_B2', 'SR_B1']"
5,Top of Atmosphere,1,LANDSAT/LT05/C02/T1_TOA,1984,2012,"['B3', 'B2', 'B1']"
5,Top of Atmosphere,2,LANDSAT/LT05/C02/T2_TOA,1984,2012,"['B3', 'B2', 'B1']"
5,Raw Images,1,LANDSAT/LT05/C02/T1,1984,2012,"['B3', 'B2', 'B1']"
5,Raw Images,2,LANDSAT/LT05/C02/T2,1984,2012,"['B3', 'B2', 'B1']"
8,Surface Reflectance,1,LANDSAT/LC08/C02/T1_L2,2013,2023,"['SR_B4', 'SR_B3', 'SR_B2']"
8,Surface Reflectance,2,LANDSAT/LC08/C02/T2_L2,2013,2023,"['SR_B4', 'SR_B3', 'SR_B2']"
8,Top of Atmosphere,1,LANDSAT/LC08/C02/T1_TOA,2013,2023,"['B4', 'B3', 'B2']"
8,Top of Atmosphere,1rt,LANDSAT/LC08/C02/T1_RT_TOA,2013,2023,"['B4', 'B3', 'B2']"
8,Top of Atmosphere,2,LANDSAT/LC08/C02/T2_TOA,2013,2023,"['B4', 'B3', 'B2']"
8,Raw Images,1,LANDSAT/LC08/C02/T1,2013,2023,"['B4', 'B3', 'B2']"
8,Raw Images,1rt,LANDSAT/LC08/C02/T1_RT,2013,2023,"['B4', 'B3', 'B2']"
8,Raw Images,2,LANDSAT/LC08/C02/T2,2013,2023,"['B4', 'B3', 'B2']"
